"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
262;"Cameron Puertas";"Werder Bremen";28;1867;1;2;2.22;2.42;0.11;0.12
263;"Montrell Culbreath";"Bayer Leverkusen";12;756;1;0;2.02;0.4;0.24;0.05
264;"Livan Burcu";"Union Berlin";18;621;1;1;2.16;0.51;0.31;0.07
265;"Kacper Potulski";"Mainz 05";15;1061;1;0;2.62;0.62;0.22;0.05
266;"Younes Ebnoutalib";"Eintracht Frankfurt";5;127;1;0;0.56;0.14;0.4;0.1
267;"Kento Shiogai";"Wolfsburg";12;292;1;0;1.88;0.57;0.58;0.18
268;"Luca Reggiani";"Borussia Dortmund";8;515;1;0;0.46;0.04;0.08;0.01
269;"Samuele Inácio";"Borussia Dortmund";7;371;1;0;2.01;0.92;0.49;0.22
270;"Philip Otele";"Hamburger SV";9;504;1;1;1.01;0.96;0.18;0.17
271;"Hugo Bolin";"Borussia M.Gladbach";13;534;1;1;1.16;0.51;0.2;0.09
272;"Salim Musah";"Werder Bremen";8;182;1;0;0.47;0.25;0.23;0.13
273;"Timo Werner";"RasenBallsport Leipzig";3;11;0;0;0;0;0;0
274;"Oliver Baumann";"Hoffenheim";34;3060;0;0;0;0.03;0;0
275;"Niklas Süle";"Borussia Dortmund";11;487;0;1;0.03;0.3;0.01;0.05
276;"Michael Zetterer";"Eintracht Frankfurt";22;1976;0;0;0;0;0;0
277;"Dominique Heintz";"FC Cologne";9;381;0;0;0;0.08;0;0.02
278;"Kevin Kampl";"RasenBallsport Leipzig";3;3;0;0;0;0;0;0
279;"Nico Elvedi";"Borussia M.Gladbach";33;2968;0;2;0.38;1.36;0.01;0.04
280;"Manuel Neuer";"Bayern Munich";22;1870;0;0;0;0;0;0
281;"Sven Ulreich";"Bayern Munich";1;90;0;0;0;0;0;0
282;"Pascal Groß";"Borussia Dortmund";11;619;0;1;0.83;1.34;0.12;0.19
283;"Leonardo Bittencourt";"Werder Bremen";17;588;0;1;0.22;0.88;0.03;0.14
284;"Pascal Stenzel";"VfB Stuttgart";2;114;0;0;0.16;0;0.13;0
285;"Timothy Chandler";"Eintracht Frankfurt";1;6;0;0;0;0.04;0;0.66
286;"Marvin Friedrich";"Borussia M.Gladbach";6;144;0;0;0;0;0;0
287;"Niklas Stark";"Werder Bremen";14;721;0;0;0.58;0;0.07;0
288;"Mario Götze";"Eintracht Frankfurt";21;880;0;0;0.43;2.86;0.04;0.29
289;"Robin Zentner";"Mainz 05";10;878;0;0;0;0;0;0
290;"Alexander Nübel";"VfB Stuttgart";34;3060;0;1;0;0.37;0;0.01
291;"Jeffrey Gouweleeuw";"Augsburg";11;857;0;1;0.24;0.38;0.02;0.04
292;"Ellyes Skhiri";"Eintracht Frankfurt";25;1439;0;0;0.76;0.31;0.05;0.02
293;"Christian Günter";"Freiburg";24;1559;0;3;0.39;2.23;0.02;0.13
294;"Maximilian Philipp";"Freiburg";2;22;0;0;0;0;0;0
295;"Nicolas Höfler";"Freiburg";13;262;0;0;0.11;0;0.04;0
296;"Janik Haberer";"Union Berlin";28;1662;0;1;0.62;1.47;0.03;0.08
297;"Janis Blaswich";"Bayer Leverkusen";11;928;0;0;0;0.1;0;0.01
298;"Marvin Schwäbe";"FC Cologne";34;3060;0;0;0;0.36;0;0.01
299;"Anthony Jung";"Freiburg";12;502;0;0;0.04;0.22;0.01;0.04
300;"Jordan Torunarigha";"Hamburger SV";24;1963;0;0;0.31;0.14;0.01;0.01
301;"Péter Gulácsi";"RasenBallsport Leipzig";23;2008;0;0;0;0;0;0
302;"Bernardo";"Hoffenheim";29;2340;0;0;0.44;0.35;0.02;0.01
303;"Daniel Heuer Fernandes";"Hamburger SV";33;2970;0;0;0.13;0;0;0
304;"Gregor Kobel";"Borussia Dortmund";34;3060;0;0;0;0;0;0
305;"Salih Özcan";"Borussia Dortmund";11;55;0;0;0.14;0.15;0.22;0.25
306;"Arne Maier";"Augsburg";1;1;0;0;0;0;0;0
307;"Stefan Posch";"Mainz 05";16;1399;0;0;0.4;0.49;0.03;0.03
308;"Jonas Meffert";"Hamburger SV";4;134;0;0;0;0.13;0;0.09
309;"Lukas Klostermann";"RasenBallsport Leipzig";5;94;0;1;0.11;0.16;0.1;0.16
310;"Arnaud Nordin";"Mainz 05";13;468;0;0;0.72;0.14;0.14;0.03
311;"Dan-Axel Zagadou";"VfB Stuttgart";3;216;0;0;0.3;0.09;0.12;0.04
312;"Tim Kleindienst";"Borussia M.Gladbach";3;5;0;0;0;0;0;0
313;"Ihlas Bebou";"Hoffenheim";16;129;0;0;0.64;0.97;0.45;0.68
314;"Moritz Nicolas";"Borussia M.Gladbach";34;3060;0;0;0;0.35;0;0.01
315;"Kevin Akpoguma";"Hoffenheim";8;46;0;0;0;0;0;0
316;"Anthony Caci";"Mainz 05";10;531;0;0;0.26;1.72;0.04;0.29
317;"Timo Hübers";"FC Cologne";8;681;0;0;0;0;0;0
318;"Niklas Dorsch";"FC Heidenheim";32;2293;0;1;0.57;2.07;0.02;0.08
319;"Finn Dahmen";"Augsburg";34;3060;0;0;0.66;0.3;0.02;0.01
320;"Mark Flekken";"Bayer Leverkusen";24;2132;0;0;0;0.07;0;0
321;"Frederik Rönnow";"Union Berlin";30;2640;0;0;0;0.02;0;0
322;"Florian Neuhaus";"Borussia M.Gladbach";17;945;0;1;1.39;1;0.13;0.1
323;"Amos Pieper";"Werder Bremen";19;1510;0;0;0.39;0.07;0.02;0
324;"Maximilian Wöber";"Werder Bremen";2;29;0;0;0;0.43;0;1.32
325;"Keven Schlotterbeck";"Augsburg";24;2025;0;1;1.3;1.03;0.06;0.05
326;"Sacha Boey";"Bayern Munich";9;458;0;0;0.39;0.18;0.08;0.04
327;"Mads Pedersen";"Augsburg";7;182;0;0;0.17;0.15;0.08;0.07
328;"Robert Skov";"Union Berlin";3;236;0;0;0.03;0.08;0.01;0.03
329;"Christopher Trimmel";"Union Berlin";29;1904;0;3;0.07;5.09;0;0.24
330;"Julian Chabot";"VfB Stuttgart";27;2307;0;0;1.62;0.27;0.06;0.01
331;"Julian Ryerson";"Borussia Dortmund";31;2288;0;15;1.09;10.86;0.04;0.43
332;"Alex Kral";"Union Berlin";20;394;0;0;0.36;0.27;0.08;0.06
333;"Tom Krauß";"FC Cologne";26;1779;0;2;0.39;1.26;0.02;0.06
334;"Nick Woltemade";"VfB Stuttgart";1;90;0;0;0;0.35;0;0.35
335;"Yannik Keitel";"Augsburg";6;247;0;0;0;0;0;0
336;"Exequiel Palacios";"Bayer Leverkusen";18;1079;0;1;0.44;1.32;0.04;0.11
337;"Jessic Ngankam";"Eintracht Frankfurt";3;50;0;0;0;0;0;0
338;"Luca Netz";"Borussia M.Gladbach";15;937;0;2;0.04;2.43;0;0.23
339;"Immanuel Pherai";"Hamburger SV";6;19;0;0;0.03;0;0.14;0
340;"Loic Bade";"Bayer Leverkusen";23;1655;0;0;1.25;0.14;0.07;0.01
341;"Xavi Simons";"RasenBallsport Leipzig";1;90;0;0;0;0.03;0;0.03
342;"Felix Agu";"Werder Bremen";11;757;0;0;0.08;0.45;0.01;0.05
343;"Rocco Reitz";"Borussia M.Gladbach";31;2669;0;4;2.65;3.99;0.09;0.13
344;"Tim Siersleben";"FC Heidenheim";15;1085;0;0;0.63;0.12;0.05;0.01
345;"Atakan Karazor";"VfB Stuttgart";28;1906;0;1;1.06;1.62;0.05;0.08
346;"Lorenz Assignon";"VfB Stuttgart";24;1091;0;0;0.68;1.05;0.06;0.09
347;"Cenk Özkacar";"FC Cologne";25;1786;0;0;1.1;0.21;0.06;0.01
348;"Sepe Elye Wahi";"Eintracht Frankfurt";10;309;0;1;1.03;0.6;0.3;0.17
349;"Warmed Omari";"Hamburger SV";20;1606;0;1;0.07;0.41;0;0.02
350;"William Mikelbrencis";"Hamburger SV";26;1384;0;4;1.47;2.82;0.1;0.18
351;"El Chadaille Bitshiabu";"RasenBallsport Leipzig";11;661;0;0;0.13;0.06;0.02;0.01
352;"Karl Hein";"Werder Bremen";2;180;0;0;0;0;0;0
353;"Maxim Leitsch";"Mainz 05";3;158;0;0;0.02;0;0.01;0
354;"Guilherme Ramos";"Hamburger SV";8;31;0;0;0.12;0;0.35;0
355;"Jesper Lindstrom";"Wolfsburg";13;362;0;0;0.94;0.79;0.23;0.2
356;"Diant Ramaj";"FC Heidenheim";31;2790;0;1;0;0.3;0;0.01
357;"Ismaël Gharbi";"Augsburg";6;71;0;0;0.23;0.03;0.29;0.04
358;"Taichi Hara";"St. Pauli";4;23;0;0;0.29;0;1.15;0
359;"Ben Bobzien";"Mainz 05";1;3;0;0;0;0;0;0
360;"Jonas Urbig";"Bayern Munich";14;1100;0;0;0;0.1;0;0.01
361;"Piero Hincapié";"Bayer Leverkusen";1;90;0;0;0.52;0;0.52;0
362;"Finley Stevens";"St. Pauli";1;25;0;0;0;0;0;0
363;"Lennard Maloney";"Mainz 05";21;444;0;0;0.55;0.04;0.11;0.01
364;"Noah Atubolu";"Freiburg";34;3060;0;0;0;0.34;0;0.01
365;"Jeanuël Belocian";"Bayer Leverkusen,Wolfsburg";22;1543;0;1;0.42;0.46;0.02;0.03
366;"Kevin Paredes";"Wolfsburg";6;151;0;0;0.06;0.04;0.04;0.03
367;"Lasse Rieß";"Mainz 05";4;290;0;0;0;0;0;0
368;"Umut Tohumcu";"Hoffenheim";5;120;0;0;0.09;0;0.07;0
369;"Diogo Leite";"Union Berlin";23;1998;0;0;0.79;0.46;0.04;0.02
370;"Muhammed Damar";"Hoffenheim";15;243;0;0;1.77;1.01;0.65;0.38
371;"Ben Seghir";"Bayer Leverkusen";10;229;0;0;0.09;1.21;0.04;0.47
372;"Adam Hlozek";"Hoffenheim";5;30;0;0;1.19;0;3.56;0
373;"Loïs Openda";"RasenBallsport Leipzig";2;54;0;0;0.16;0.05;0.26;0.09
374;"Tim Oermann";"Bayer Leverkusen";2;12;0;0;0;0.06;0;0.45
375;"Vinicius Souza";"Wolfsburg";24;1794;0;0;0.73;0.78;0.04;0.04
376;"Kilian Fischer";"Wolfsburg";11;801;0;0;0.09;0.47;0.01;0.05
377;"Badredine Bouanani";"VfB Stuttgart";14;451;0;0;1.07;0.57;0.21;0.11
378;"Fabio Chiarodia";"Borussia M.Gladbach";15;669;0;0;0.97;0.01;0.13;0
379;"Denis Huseinbasic";"FC Cologne";15;726;0;0;0.21;0.29;0.03;0.04
380;"Nelson Weiper";"Mainz 05";24;486;0;0;2.78;0.4;0.51;0.07
381;"Sael Kumbedi";"Wolfsburg";24;1825;0;5;0.46;3.12;0.02;0.15
382;"Aljoscha Kemlein";"Union Berlin";30;1984;0;2;1.4;1.57;0.06;0.07
383;"Andreas Hanche-Olsen";"Mainz 05";13;843;0;1;0.24;0.71;0.03;0.08
384;"Aurélio Buta";"Eintracht Frankfurt";4;131;0;0;0.03;0.08;0.02;0.05
385;"Merlin Röhl";"Freiburg";2;52;0;0;0;0;0;0
386;"Damion Downs";"Hamburger SV";12;534;0;0;0.49;0.71;0.08;0.12
387;"Ameen Al Dakhil";"VfB Stuttgart";8;368;0;0;0.06;0.08;0.02;0.02
388;"Senne Lynen";"Werder Bremen";31;2766;0;0;1;1.24;0.03;0.04
389;"Cédric Zesiger";"Augsburg";27;1798;0;0;1.75;0.56;0.09;0.03
390;"Václav Cerny";"Wolfsburg";2;40;0;0;0.07;0;0.16;0
391;"Omar Traoré";"FC Heidenheim";26;1506;0;2;0.5;1.46;0.03;0.09
392;"Benedikt Gimber";"FC Heidenheim";21;1467;0;0;0.5;0.21;0.03;0.01
393;"Victor Boniface";"Werder Bremen";11;309;0;2;0.91;1.05;0.26;0.31
394;"Nicolas Seiwald";"RasenBallsport Leipzig";33;2730;0;2;1.82;1.81;0.06;0.06
395;"Leart Paqarada";"FC Heidenheim";1;6;0;0;0;0;0;0
396;"Leonidas Stergiou";"FC Heidenheim,VfB Stuttgart";6;194;0;0;0.05;0;0.02;0
397;"Lukas Ullrich";"Borussia M.Gladbach";23;1301;0;0;0.76;0.91;0.05;0.06
398;"Skelly Alvero";"Werder Bremen";2;23;0;0;0;0;0;0
399;"Thomas Keller";"FC Heidenheim";4;193;0;0;0.05;0;0.03;0
400;"Daniel Batz";"Mainz 05";21;1890;0;0;0;0;0;0
401;"Jordy Makengo";"Freiburg";20;1160;0;1;0;0.73;0;0.06
402;"Kauã Santos";"Eintracht Frankfurt";13;1084;0;0;0;0;0;0
403;"Elias Baum";"Eintracht Frankfurt";5;64;0;0;0;0.02;0;0.03
404;"Yannick Eduardo";"Hoffenheim";1;1;0;0;0;0;0;0
405;"Julián Malatini";"Werder Bremen";11;508;0;0;0.03;0.16;0.01;0.03
406;"Isak Hansen-Aaröen";"Werder Bremen";1;1;0;0;0;0;0;0
407;"Frank Feller";"FC Heidenheim";3;270;0;0;0;0;0;0
408;"Max Rosenfelder";"Freiburg";12;476;0;0;0.02;0;0;0
409;"Yukinari Sugawara";"Werder Bremen";31;2444;0;6;1.67;2.44;0.06;0.09
410;"Kosta Nedeljkovic";"RasenBallsport Leipzig";5;251;0;0;0;0;0;0
411;"Nikolas Veratschnig";"Mainz 05";21;614;0;1;0.15;1.02;0.02;0.15
412;"Mio Backhaus";"Werder Bremen";32;2880;0;0;0;0;0;0
413;"Bruno Ogbus";"Freiburg";18;1180;0;0;0.79;0.03;0.06;0
414;"Ramon Hendriks";"VfB Stuttgart";31;2011;0;3;0.21;0.59;0.01;0.03
415;"Nicolai Remberg";"Hamburger SV";32;2880;0;2;1.05;2.15;0.03;0.07
416;"Maarten Vandevoordt";"RasenBallsport Leipzig";12;1052;0;0;0;0;0;0
417;"Aurèle Amenda";"Eintracht Frankfurt";24;1664;0;0;1.01;0.34;0.05;0.02
418;"Kamil Grabara";"Wolfsburg";34;3060;0;0;0.04;0.04;0;0
419;"Bence Dárdai";"Wolfsburg";1;31;0;0;0;0.01;0;0.04
420;"Nikola Vasilj";"St. Pauli";34;3060;0;0;0;0;0;0
421;"Lars Ritzka";"St. Pauli";21;974;0;0;0.23;0.88;0.02;0.08
422;"Jackson Irvine";"St. Pauli";24;1617;0;1;1.63;0.91;0.09;0.05
423;"Connor Metcalfe";"St. Pauli";25;536;0;2;0.74;1.16;0.12;0.19
424;"Elias Saad";"Augsburg";10;518;0;0;0.37;0.62;0.06;0.11
425;"Oladapo Afolayan";"St. Pauli";7;135;0;0;0.53;0.08;0.35;0.06
426;"Filippo Mané";"Borussia Dortmund";4;142;0;0;0;0;0;0
427;"Almugera Kabar";"Borussia Dortmund";1;14;0;0;0.05;0;0.31;0
428;"Cole Campbell";"Borussia Dortmund,Hoffenheim";6;64;0;0;0.19;0.28;0.27;0.4
429;"Jahmai Simpson-Pusey";"FC Cologne";11;863;0;0;0.31;0.1;0.03;0.01
430;"Axel Tape";"Bayer Leverkusen";6;214;0;0;0.14;0;0.06;0
431;"Jonah Kusi-Asare";"Bayern Munich";1;1;0;0;0;0;0;0
432;"Carl Klaus";"Union Berlin";4;330;0;0;0;0;0;0
433;"Luka Djuric";"Hoffenheim";1;5;0;0;0;0;0;0
434;"Wisdom Mike";"Bayern Munich";4;18;0;0;0.1;0;0.52;0
435;"Mick Schmetgens";"Werder Bremen";2;34;0;0;0;0;0;0
436;"Luca Jaquez";"VfB Stuttgart";14;893;0;1;0.15;0.44;0.02;0.04
437;"Finn Jeltsch";"VfB Stuttgart";23;1501;0;1;0.2;0.1;0.01;0.01
438;"Alejo Sarco";"Bayer Leverkusen,Borussia M.Gladbach";6;107;0;0;0.42;0.25;0.35;0.21
439;"Charles Herrmann";"Borussia M.Gladbach";1;1;0;1;0;0.38;0;34.08
440;"Jan Bürger";"Wolfsburg";7;247;0;0;0.06;0.13;0.02;0.05
441;"Claudio Echeverri";"Bayer Leverkusen";6;112;0;0;0.11;0.04;0.09;0.03
442;"Jenson Seelt";"Wolfsburg";9;681;0;0;0.11;0;0.01;0
443;"Ezechiel Banzuzi";"RasenBallsport Leipzig";24;521;0;1;1.25;0.35;0.22;0.06
444;"Koki Machida";"Hoffenheim";1;45;0;0;0;0;0;0
445;"Leon Avdullahu";"Hoffenheim";33;2860;0;1;0.52;1.33;0.02;0.04
446;"Yannik Wagner";"FC Heidenheim";4;31;0;0;0.02;0.28;0.07;0.81
447;"Cyriaque Irié";"Freiburg";10;331;0;0;0.6;0.13;0.16;0.04
448;"Matheo Raab";"Union Berlin";1;90;0;0;0;0;0;0
449;"Lazar Jovanovic";"VfB Stuttgart";3;23;0;0;0.1;0.1;0.39;0.37
450;"Arkadiusz Pyrka";"St. Pauli";31;2596;0;1;1.01;2.22;0.03;0.08
451;"Jobe Bellingham";"Borussia Dortmund";32;1779;0;1;0.99;0.77;0.05;0.04
452;"Joël Schmied";"FC Cologne";16;1090;0;0;0.22;0.15;0.02;0.01
453;"Sebastian Sebulonsen";"FC Cologne";31;2519;0;0;1.49;2.76;0.05;0.1
454;"Kristoffer Lund";"FC Cologne";33;2319;0;2;0.63;1.74;0.02;0.07
455;"Jusuf Gazibegovic";"FC Cologne";1;17;0;0;0;0;0;0
456;"Rav van den Berg";"FC Cologne";14;1138;0;1;0.11;0.5;0.01;0.04
457;"Daniel Elfadli";"Hamburger SV";21;1257;0;0;0.6;0.17;0.04;0.01
458;"Giorgi Gocholeishvili";"Hamburger SV";24;909;0;1;0.98;0.64;0.1;0.06
459;"Miro Muheim";"Hamburger SV";29;2443;0;4;1.37;3.49;0.05;0.13
460;"Emir Sahiti";"Hamburger SV";2;124;0;0;0;0.01;0;0.01
461;"Alexander Røssing-Lelesiit";"Hamburger SV";11;319;0;1;0.09;0.73;0.03;0.2
462;"Aboubaka Soumahoro";"Hamburger SV";4;140;0;0;0;0.02;0;0.01
463;"Otto Stange";"Hamburger SV";10;275;0;0;0.66;0.1;0.22;0.03
464;"Andrija Maksimovic";"RasenBallsport Leipzig";8;77;0;0;0.07;0.37;0.08;0.43
465;"Aiman Dardari";"Augsburg";3;21;0;0;0.06;0;0.24;0
466;"Sota Kawasaki";"Mainz 05";10;295;0;0;0.05;0;0.01;0
467;"Ezequiél Fernández";"Bayer Leverkusen";20;1009;0;1;0.53;0.8;0.05;0.07
468;"William Bøving";"Mainz 05";9;206;0;1;0.01;0.54;0.01;0.24
469;"Cassiano Kiala";"Bayern Munich";1;1;0;0;0;0;0;0
470;"Tobias Weigel";"FC Heidenheim";1;1;0;0;0;0;0;0
471;"Dmytro Bogdanov";"Union Berlin";2;2;0;0;0.51;0;23.03;0
472;"Jan Urbich";"Borussia M.Gladbach";3;28;0;0;0;0.03;0;0.09
473;"David Santos";"Bayern Munich";2;25;0;0;0.03;0;0.11;0
474;"Fabio Moreno Fell";"Mainz 05";2;80;0;0;0.05;0;0.06;0
475;"Pharell Hensel";"Wolfsburg";5;68;0;0;0.02;0;0.02;0
476;"Samba Konate";"RasenBallsport Leipzig";1;1;0;0;0.04;0;3.72;0
477;"Cenny Neumann";"FC Cologne";2;74;0;0;0;0;0;0
478;"Tim Schnitzer";"Augsburg";1;1;0;0;0;0;0;0
479;"Fynn Schenten";"FC Cologne";7;86;0;0;0.03;0.36;0.03;0.38
480;"Felipe Chávez";"Bayern Munich,FC Cologne";9;88;0;0;0.27;0.11;0.28;0.11
481;"Deniz Ofli";"Bayern Munich";1;2;0;0;0;0;0;0
482;"Kota Takai";"Borussia M.Gladbach";8;329;0;0;0.41;0.03;0.11;0.01
483;"Youssoupha Niang";"FC Cologne";10;179;0;0;0.32;0.18;0.16;0.09
484;"Jeremy Arévalo";"VfB Stuttgart";7;21;0;1;0.16;0.06;0.68;0.27
485;"Tomoya Ando";"St. Pauli";15;1263;0;1;0.55;1.3;0.04;0.09
486;"Sander Tangvik";"Hamburger SV";1;90;0;0;0;0;0;0
487;"Mathias Rasmussen";"St. Pauli";13;692;0;0;0.79;0.26;0.1;0.03
488;"Louis Lemke";"Hamburger SV";1;1;0;0;0;0;0;0
489;"Love Arrhov";"Eintracht Frankfurt";5;58;0;0;0;0.09;0;0.13
